USER,DATE,TWEET
repjustinamash,Fri Aug 23 17:18:45 +0000 2013,"Easily." RT @politico: .@SenJohnMcCain said military intervention in Syria could be done “easily." http://t.co/7odt2QNRz8
repjustinamash,Mon Aug 26 22:14:20 +0000 2013,RT @YahooNews: New poll shows that Americans strongly oppose U.S. intervention in Syria: http://t.co/pJW4QZ42j5
JackKingston,Tue Aug 27 15:32:12 +0000 2013,With news of chemical attack do you support U.S. military intervention in Syria? http://t.co/atRfsDXtwO
ChrisMurphyCT,Tue Aug 27 23:13:33 +0000 2013,For U.S. to make a difference in Syria with military intervention there has to both a WILL and a WAY.
RepScottRigell,Wed Aug 28 01:19:43 +0000 2013,Very clear that POTUS has authority to call Congress back in to session if he believes facts warrant intervention in #Syria.
RepTomMarino,Wed Aug 28 14:08:27 +0000 2013,I am opposed to intervention in #Syria at this time &amp; have joined w/ colleagues calling on POTUS to consult Congress http://t.co/6hh88CZCKc
MicheleBachmann,Wed Aug 28 14:11:28 +0000 2013,New evidence that al Qaeda affiliates are training Syrian rebels. Foolish for the United States to intervene. http://t.co/wgpVkIv6RC
RepSeanDuffy,Wed Aug 28 19:23:12 +0000 2013,Sent this letter to Pres. #Obama w/80 of my colleagues. He should consult Congress before intervening in #Syria  http://t.co/dA8PJz2Ro5
SpeakerBoehner,Wed Aug 28 20:55:08 +0000 2013,There are important questions the president must answer if considering intervention in Syria http://t.co/lKHldgYAjX
repjustinamash,Wed Aug 28 21:03:11 +0000 2013,RT @SpeakerBoehner: There are important questions the president must answer if considering intervention in Syria http://t.co/lKHldgYAjX
RepKevinYoder,Wed Aug 28 21:11:50 +0000 2013,RT @KCStar: Yoder says no to military intervention in Syria: http://t.co/Aqn7JXOK4I
DesJarlaisTN04,Thu Aug 29 13:43:58 +0000 2013,RT @GadsdenChris: Rep Desjarlais thank you for requesting that the Executive Branch seek Congressional authorization on #Syria interventio…
AlanGrayson,Thu Aug 29 14:21:00 +0000 2013,Raytheon's stock is up 20% in the last 60 days. Nobody wants US intervention in Syria except the military-industrial complex.
